Date,Open,High,Low,Close,Adj Close,Volume,M2,Open_1,High_1,Low_1,Close_1
2020-05-13,9006.05,9074.16,8752.68,8863.17,8863.17,4244110000,17855.48,7588.84,7646.23,7375.34,7468.44
2020-05-14,8788.04,8945.71,8705.25,8943.72,8943.72,3945080000,17873.52,7397.66,7530.38,7327.97,7528.71
2020-05-15,8839.99,9018.40,8821.38,9014.56,9014.56,4221500000,17891.56,7433.89,7583.92,7418.24,7580.69
2020-05-18,9177.15,9267.22,9154.35,9234.83,9234.83,4318310000,17909.60,7709.64,7785.31,7690.49,7758.10
2020-05-19,9227.46,9317.25,9183.25,9185.10,9185.10,4144770000,17916.68,7748.85,7824.25,7711.72,7713.27
2020-05-20,9305.62,9392.82,9304.20,9375.78,9375.78,4292470000,17923.76,7811.40,7884.60,7810.20,7870.29
2020-05-21,9375.19,9405.25,9254.85,9284.88,9284.88,3725950000,17930.83,7866.69,7891.91,7765.71,7790.91
2020-05-22,9278.55,9328.28,9239.41,9324.59,9324.59,3641830000,17937.91,7782.53,7824.24,7749.70,7821.14
2020-05-26,9501.21,9501.21,9333.16,9340.22,9340.22,4432310000,17944.99,7966.14,7966.14,7825.24,7831.16
2020-05-27,9346.12,9414.62,9144.28,9412.36,9412.36,4462450000,17952.07,7833.02,7890.43,7663.86,7888.54
2020-05-28,9392.99,9523.64,9345.28,9368.99,9368.99,4064220000,17959.14,7869.20,7978.66,7829.23,7849.09
2020-05-29,9382.35,9505.55,9324.73,9489.87,9489.87,423570000,17966.22,7857.19,7960.36,7808.94,7947.23
2020-06-01,9471.42,9571.28,9462.32,9552.05,9552.05,3824770000,17973.30,7928.66,8012.25,7921.04,7996.15
2020-06-02,9566.53,9611.22,9472.08,9608.38,9608.38,3962460000,17991.20,8000.31,8037.68,7921.32,8035.31
2020-06-03,9651.86,9707.78,9627.17,9682.91,9682.91,4638380000,18009.10,8063.65,8110.36,8043.02,8089.59
2020-06-04,9649.65,9716.14,9560.41,9615.81,9615.81,6074320000,18027.00,8053.79,8109.29,7979.31,8025.55
2020-06-05,9703.54,9845.69,9685.35,9814.08,9814.08,6572850000,18044.90,8090.74,8209.26,8075.57,8182.91
